id_producto,nombre_producto,unidad_medida,area,stock,precio_venta,tiene_formula,ingredientes_formula
76,ABRILLANTADOR DE LLANTAS,L,QUIMO,0.0,0.0,No,0
75,ABRILLANTADOR DE LLANTAS 500 ML,PZA,QUIMO,1.0,0.0,No,0
78,ABRILLANTADOR LIQUIDO VINIL,L,QUIMO,0.0,0.0,No,0
77,ABRILLANTADOR LIQUIDO VINIL 500 ML,PZA,QUIMO,1.0,0.0,No,0
154,ACEITE PARA MOP,L,QUIMO,0.0,44.2897,No,0
122,AMINA JAF,KG,QUIMO,0.0,18.36614,No,0
121,AMINA JB,KG,QUIMO,1247.0,0.0,No,0
133,AROMATIZANTE,KG,QUIMO,0.0,417.7373983067729,Sí,5
91,AROMATIZANTE 1 L CANELA,PZA,QUIMO,1.0,0.0,No,0
95,AROMATIZANTE 1 L CITRONELA,PZA,QUIMO,1.0,0.0,No,0
96,AROMATIZANTE 1 L GREEN BAMBÚ,PZA,QUIMO,1.0,0.0,No,0
89,AROMATIZANTE 1 L LAVANDA,PZA,QUIMO,1.0,0.0,No,0
90,AROMATIZANTE 1 L LIMÓN,PZA,QUIMO,1.0,0.0,No,0
93,AROMATIZANTE 1 L MENTA,PZA,QUIMO,1.0,0.0,No,0
92,AROMATIZANTE 1 L PRIMAVERA,PZA,QUIMO,1.0,0.0,No,0
94,AROMATIZANTE 1 L TORONJA,PZA,QUIMO,1.0,0.0,No,0
118,AROMATIZANTE 500 ML ANIMALE,PZA,QUIMO,1.0,0.0,No,0
83,AROMATIZANTE 500 ML CANELA,PZA,QUIMO,1.0,0.0,No,0
87,AROMATIZANTE 500 ML CITRONELA,PZA,QUIMO,1.0,0.0,No,0
117,AROMATIZANTE 500 ML CK ONE,PZA,QUIMO,1.0,0.0,No,0
88,AROMATIZANTE 500 ML GREEN BAMBÚ,PZA,QUIMO,1.0,0.0,No,0
115,AROMATIZANTE 500 ML HUGO BOSS,PZA,QUIMO,1.0,0.0,No,0
116,AROMATIZANTE 500 ML LACOSTE BLANCO,PZA,QUIMO,1.0,0.0,No,0
82,AROMATIZANTE 500 ML LIMÓN,PZA,QUIMO,1.0,0.0,No,0
85,AROMATIZANTE 500 ML MENTA,PZA,QUIMO,1.0,0.0,No,0
119,AROMATIZANTE 500 ML ONE MILLION,PZA,QUIMO,1.0,0.0,No,0
84,AROMATIZANTE 500 ML PRIMAVERA,PZA,QUIMO,1.0,0.0,No,0
120,AROMATIZANTE 500 ML SAUVAGE,PZA,QUIMO,1.0,0.0,No,0
86,AROMATIZANTE 500 ML TORONJA,PZA,QUIMO,1.0,0.0,No,0
81,AROMATIZANTE 500 mL LAVANDA,PZA,QUIMO,1.0,0.0,No,0
140,AROMATIZANTE RECARGADO,KG,QUIMO,0.0,0.0,No,0
